BioSample	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	dev_stage	tissue	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	ecotype	geo_loc_name
SAMN05170725	sra-sos	sra-sos.public	SRX1795751	Illumina HiSeq 2000	2016-06-02	1188	817	SRR3581682	SRS1464111	Leaf Petiole of the senescent leaf (L.PET.sn)		first silique was yellow and ready to open	Leaf petiole	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170726	sra-sos	sra-sos.public	SRX1795756	Illumina HiSeq 2000	2016-06-03	1257	864	SRR3581683	SRS1464116	Leaf Vein of the senescent leaf (L.VN.sn)		first silique was yellow and ready to open	Leaf midrib	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170727	sra-sos	sra-sos.public	SRX1795762	Illumina HiSeq 2000	2016-06-03	1118	743	SRR3581684	SRS1464122	Opened Anthers (F.AN)		anthesis of the first flower	Opened Anther	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170728	ncbi		SRX1795769	Illumina HiSeq 2000	2016-06-04	1134	754	SRR3581685	SRS1464129	Carpels of the mature flower (F.CA.ad)		anthesis of the first flower	Carpel	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170729	ncbi		SRX1795774	Illumina HiSeq 2000	2016-06-04	1106	737	SRR3581686	SRS1464133	Anthers of the mature flower (F.AN.ad)		anthesis of the first flower	Anther before opening	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170730	ncbi		SRX1795783	Illumina HiSeq 2000	2016-06-04	1471	981	SRR3581687	SRS1464143	Stamen filaments of the mature flower (F.FM.ad)		anthesis of the first flower	Stamen filament	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170731	ncbi		SRX1795791	Illumina HiSeq 2000	2016-06-05	1143	757	SRR3581688	SRS1464145	Petals of the mature flower (F.PT.ad)		anthesis of the first flower	Petal	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170732	ncbi		SRX1795803	Illumina HiSeq 2000	2016-06-05	1133	756	SRR3581689	SRS1464146	Sepals of the mature flower (F.SP.ad)		anthesis of the first flower	Sepal	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170733	sra-sos	sra-sos.public	SRX1795814	Illumina HiSeq 2000	2016-06-06	1222	822	SRR3581690	SRS1464147	Carpels of the young flower (F.CA.y)		stage 9	Young carpel	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170734	sra-sos	sra-sos.public	SRX1795824	Illumina HiSeq 2000	2016-06-06	1366	924	SRR3581691	SRS1464148	Anthers of the young flower (F.AN.y)		stage 9	Young anther	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170735	sra-sos	sra-sos.public	SRX1795837	Illumina HiSeq 2000	2016-06-07	1191	800	SRR3581692	SRS1464149	Sepals of the young flower (F.SP.y)		stage 9	Young sepal	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170736	sra-sos	sra-sos.public	SRX1795852	Illumina HiSeq 2000	2016-06-17	1262	808	SRR3581693	SRS1464150	Flower 1 (F1)		anthesis of the first flower	Flower 1	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170737	sra-sos	sra-sos.public	SRX1795861	Illumina HiSeq 2000	2016-06-18	1135	769	SRR3581694	SRS1464151	Flower 2 (F2)		anthesis of the first flower	Flower 2	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170738	sra-sos	sra-sos.public	SRX1795871	Illumina HiSeq 2000	2016-06-18	1245	829	SRR3581695	SRS1464152	Flower 3 (F3)		anthesis of the first flower	Flower 3	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170739	sra-sos	sra-sos.public	SRX1795883	Illumina HiSeq 2000	2016-06-19	1084	723	SRR3581696	SRS1464153	Flower 4 (F4)		anthesis of the first flower	Flower 4	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170740	sra-sos	sra-sos.public	SRX1795938	Illumina HiSeq 2000	2016-06-19	1152	772	SRR3581697	SRS1464210	Flower 5 (F5)		anthesis of the first flower	Flower 5	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170741	sra-sos	sra-sos.public	SRX1795952	Illumina HiSeq 2000	2016-06-19	1180	792	SRR3581698	SRS1464224	Flowers 6-8 (F6-8)		anthesis of the first flower	Flower 6-8	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170742	sra-sos	sra-sos.public	SRX1795953	Illumina HiSeq 2000	2016-06-20	1289	821	SRR3581699	SRS1464225	Flowers 9-11 (F9-11)		anthesis of the first flower	Flower 9-11	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170743	sra-sos	sra-sos.public	SRX1795955	Illumina HiSeq 2000	2016-06-20	1297	864	SRR3581700	SRS1464226	Flowers 12-14 (F12-14)		anthesis of the first flower	Flower 12-14	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170744	sra-sos	sra-sos.public	SRX1795956	Illumina HiSeq 2000	2016-06-21	1396	947	SRR3581701	SRS1464228	Flowers 15-18 (F15-18)		anthesis of the first flower	Flower 15-18	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170745	sra-sos	sra-sos.public	SRX1795958	Illumina HiSeq 2000	2016-06-22	1213	810	SRR3581702	SRS1464230	Flowers 19 and following (F19+)		anthesis of the first flower	Inflorescence	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170746	sra-sos	sra-sos.public	SRX1795961	Illumina HiSeq 2000	2016-06-23	1142	760	SRR3581703	SRS1464233	Pedicel (PED)		anthesis of the first flower	Pedicel	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170747	sra-sos	sra-sos.public	SRX1795967	Illumina HiSeq 2000	2016-06-23	1160	743	SRR3581704	SRS1464239	Axis of the inflorescence (AX)		anthesis of the first flower	Inflorescence axis	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170748	sra-sos	sra-sos.public	SRX1795972	Illumina HiSeq 2000	2016-06-24	1145	738	SRR3581705	SRS1464243	Internode (IN)		anthesis of the first flower	Internode	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170749	sra-sos	sra-sos.public	SRX1795973	Illumina HiSeq 2000	2016-06-11	1597	1110	SRR3581706	SRS1464245	Seeds 1 (SD1)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 1	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170750	sra-sos	sra-sos.public	SRX1795974	Illumina HiSeq 2000	2016-06-11	1442	976	SRR3581707	SRS1464246	Pod of the silique 1 (POD1)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 1	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170751	sra-sos	sra-sos.public	SRX1795976	Illumina HiSeq 2000	2016-06-12	1427	964	SRR3581708	SRS1464248	Silique 2 (SL2)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 2	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170752	sra-sos	sra-sos.public	SRX1795980	Illumina HiSeq 2000	2016-06-13	1541	1054	SRR3581709	SRS1464251	Seeds 3 (SD3)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 3	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170753	sra-sos	sra-sos.public	SRX1795987	Illumina HiSeq 2000	2016-06-13	1526	1007	SRR3581710	SRS1464258	Pod of the silique 3 (POD3)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 3	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170754	sra-sos	sra-sos.public	SRX1795994	Illumina HiSeq 2000	2016-06-14	1360	906	SRR3581711	SRS1464265	Silique 4 (SL4)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 4	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170755	sra-sos	sra-sos.public	SRX1795996	Illumina HiSeq 2000	2016-06-14	1685	1159	SRR3581712	SRS1464267	Seeds 5 (SD5)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 5	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170756	sra-sos	sra-sos.public	SRX1795997	Illumina HiSeq 2000	2016-06-15	1331	873	SRR3581713	SRS1464268	Pod of the silique 5 (POD5)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 5	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170757	sra-sos	sra-sos.public	SRX1795998	Illumina HiSeq 2000	2016-06-15	1343	876	SRR3581714	SRS1464269	Silique 6 (SL6)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 6	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170758	sra-sos	sra-sos.public	SRX1796004	Illumina HiSeq 2000	2016-06-16	1733	1203	SRR3581715	SRS1464275	Seeds 7 (SD7)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Seed 7	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170759	sra-sos	sra-sos.public	SRX1796018	Illumina HiSeq 2000	2016-06-16	1489	1020	SRR3581716	SRS1464289	Pod of the silique 7 (POD7)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Pod 7	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170760	sra-sos	sra-sos.public	SRX1796030	Illumina HiSeq 2000	2016-06-17	1472	982	SRR3581717	SRS1464301	Silique 8 (SL8)		first silique is 1-1.5 cm long (abscission of the 8th flower)	Silique 8	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170761	sra-sos	sra-sos.public	SRX1796042	Illumina HiSeq 2000	2016-06-07	1219	820	SRR3581719	SRS1464312	Young seeds 1 (SD.y1)		abscission of the first flower	Seed from silique 1	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170762	sra-sos	sra-sos.public	SRX1796053	Illumina HiSeq 2000	2016-06-08	1341	904	SRR3581720	SRS1464322	Young seeds 2 (SD.y2)		abscission of the first flower	Seed from silique 2	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170763	sra-sos	sra-sos.public	SRX1796065	Illumina HiSeq 2000	2016-06-08	1310	873	SRR3581721	SRS1464336	Young seeds 3 (SD.y3)		abscission of the first flower	Seed from silique 3	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170764	sra-sos	sra-sos.public	SRX1796073	Illumina HiSeq 2000	2016-06-09	1303	878	SRR3581724	SRS1464344	Young seeds 4 (SD.y4)		abscission of the first flower	Seed from silique 4	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170765	sra-sos	sra-sos.public	SRX1796085	Illumina HiSeq 2000	2016-06-09	1243	832	SRR3581726	SRS1464349	Young seeds 5 (SD.y5)		abscission of the first flower	Seed from silique 5	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170766	sra-sos	sra-sos.public	SRX1796089	Illumina HiSeq 2000	2016-06-10	1287	881	SRR3581727	SRS1464351	Ovules from 6th and 7th flowers (OV.y6-7)		abscission of the first flower	Ovule	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
SAMN05170767	sra-sos	sra-sos.public	SRX1796146	Illumina HiSeq 2000	2016-06-10	1537	1045	SRR3581728	SRS1464401	Stigmatic tissue (STI)		abscission of the first flower	Stigma	RNA-Seq	50	PRJNA314076	Plant	MOSCOW STATE UNIVERSITY	public	sra	0	SINGLE	PolyA	TRANSCRIPTOMIC	Arabidopsis thaliana	ILLUMINA	2016-08-26	SRP075604	Col-0 (CS70000)	Russia: Moscow
